price,area,status,bhk,bathroom,age,location,builder
45.92,1392,Ready to move,3,,1,Perumbakkam,Plaza Group
21.04,638,Ready to move,1,,1,Perumbakkam,Plaza Group
20.68,627,Ready to move,1,,1,Perumbakkam,Plaza Group
59.56,1083,Under Construction,2,,0,Medavakkam,EK Realtors
51.59,938,Under Construction,2,,0,Medavakkam,EK Realtors
53.62,975,Under Construction,2,,0,Medavakkam,EK Realtors
87.45,1590,Under Construction,3,,0,Medavakkam,EK Realtors
53.57,974,Under Construction,2,,0,Medavakkam,EK Realtors
87.72,1595,Under Construction,3,,0,Medavakkam,EK Realtors
55.82,1015,Under Construction,2,,0,Medavakkam,EK Realtors
80.68,1467,Under Construction,3,,0,Medavakkam,EK Realtors
191,1235,Under Construction,3,,0,Anna Nagar,Kamalam Builder Pvt Ltd
57.12,985,Under Construction,2,,0,Medavakkam,The Nest Builder
57.41,990,Under Construction,2,,0,Medavakkam,The Nest Builder
62.91,1085,Under Construction,2,,0,Medavakkam,The Nest Builder
56.25,970,Under Construction,2,,0,Medavakkam,The Nest Builder
56.83,980,Under Construction,2,,0,Medavakkam,The Nest Builder
30.99,638,Ready to move,2,,1,Chromepet,Doshi Housing
59.22,1245,Ready to move,3,,1,Chromepet,Doshi Housing
43.47,895,Ready to move,2,,1,Chromepet,Doshi Housing
61.55,1294,Ready to move,3,,1,Chromepet,Doshi Housing
58.32,1226,Ready to move,3,,1,Chromepet,Doshi Housing
49.79,1025,Ready to move,2,,1,Chromepet,Doshi Housing
46.83,964,Ready to move,2,,1,Chromepet,Doshi Housing
58.84,1237,Ready to move,3,,1,Chromepet,Doshi Housing
69.92,1470,Ready to move,3,3,1,Chromepet,Doshi Housing
44.64,919,Ready to move,2,2,1,Chromepet,Doshi Housing
63.88,1343,Ready to move,3,,1,Chromepet,Doshi Housing
60.74,1277,Ready to move,3,,1,Chromepet,Doshi Housing
44.59,918,Ready to move,2,,1,Chromepet,Doshi Housing
45.9,945,Ready to move,2,,1,Chromepet,Doshi Housing
31.38,646,Ready to move,2,,1,Chromepet,Doshi Housing
59.98,1261,Ready to move,3,3,1,Chromepet,Doshi Housing
63.22,1329,Ready to move,3,3,1,Chromepet,Doshi Housing
56.98,1198,Ready to move,3,3,1,Chromepet,Doshi Housing
47.65,981,Ready to move,2,,1,Chromepet,Doshi Housing
84.88,1307,Ready to move,3,,3,Karapakkam,Doshi Housing
33.77,538,Ready to move,1,,3,Karapakkam,Doshi Housing
85.34,1314,Ready to move,3,,3,Karapakkam,Doshi Housing
66.7,1027,Ready to move,2,,3,Karapakkam,Doshi Housing
88.2,1358,Ready to move,3,,3,Karapakkam,Doshi Housing
66.5,1024,Ready to move,2,,3,Karapakkam,Doshi Housing
174,2686,Ready to move,4,,3,Karapakkam,Doshi Housing
101,1561,Ready to move,3,,3,Karapakkam,Doshi Housing
84.17,1296,Ready to move,3,,3,Karapakkam,Doshi Housing
101,1566,Ready to move,3,,3,Karapakkam,Doshi Housing
118,1829,Ready to move,3,,3,Karapakkam,Doshi Housing
101,1564,Ready to move,3,,3,Karapakkam,Doshi Housing
87.55,1348,Ready to move,3,,3,Karapakkam,Doshi Housing
126,1944,Ready to move,3,,3,Karapakkam,Doshi Housing
171,2640,Ready to move,4,,3,Karapakkam,Doshi Housing
34.46,549,Ready to move,1,,3,Karapakkam,Doshi Housing
170,2630,Ready to move,4,,3,Karapakkam,Doshi Housing
169,2616,Ready to move,4,,3,Karapakkam,Doshi Housing
103,1599,Ready to move,3,,3,Karapakkam,Doshi Housing
80.09,1045,Under Construction,2,,0,East Tambaram,The Nest Builder
47.19,640,Under Construction,1,,0,East Tambaram,The Nest Builder
82.21,1075,Under Construction,2,,0,East Tambaram,The Nest Builder
69.1,890,Under Construction,2,,0,East Tambaram,The Nest Builder
85.05,1115,Under Construction,2,,0,East Tambaram,The Nest Builder
74.42,965,Under Construction,2,,0,East Tambaram,The Nest Builder
115,1290,Under Construction,3,,0,East Tambaram,The Nest Builder
91.2,1010,Under Construction,2,,0,East Tambaram,The Nest Builder
76.9,1000,Under Construction,2,,0,East Tambaram,The Nest Builder
114,1275,Under Construction,3,,0,East Tambaram,The Nest Builder
118,1315,Under Construction,3,,0,East Tambaram,The Nest Builder
120,1320,Under Construction,3,,0,East Tambaram,The Nest Builder
115,1290,Under Construction,3,,0,East Tambaram,The Nest Builder
91.2,1010,Under Construction,2,,0,East Tambaram,The Nest Builder
63.18,1011,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
63.18,1011,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
54.81,877,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
54.81,877,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
62.75,1004,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
63.18,1011,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
62.75,1004,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
54.81,877,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
63.18,1011,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
57.87,926,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
54.81,877,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
57.87,926,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
115,1385,Ready to move,3,,1,Sembakkam,The Nest Builder
110,1320,Ready to move,3,,1,Sembakkam,The Nest Builder
88.73,1050,Ready to move,2,,1,Sembakkam,The Nest Builder
82.87,975,Ready to move,2,,1,Sembakkam,The Nest Builder
47.07,585,Ready to move,1,,1,Sembakkam,The Nest Builder
86.78,1025,Ready to move,2,,1,Sembakkam,The Nest Builder
124,1500,Ready to move,3,,1,Sembakkam,The Nest Builder
12.83,391,Under Construction,1,,0,Thandalam,Baashyaam Group
21,667,Under Construction,2,,0,Thandalam,Baashyaam Group
20.97,666,Under Construction,2,,0,Thandalam,Baashyaam Group
20.77,659,Under Construction,2,,0,Thandalam,Baashyaam Group
12.89,394,Under Construction,1,,0,Thandalam,Baashyaam Group
22.19,707,Under Construction,2,,0,Thandalam,Baashyaam Group
21.21,674,Under Construction,2,,0,Thandalam,Baashyaam Group
84.13,1325,Under Construction,2,,0,Medavakkam,Krishna Constructions
84.13,1325,Under Construction,2,,0,Medavakkam,Krishna Constructions
73.34,1155,Under Construction,2,,0,Medavakkam,Krishna Constructions
73.34,1155,Under Construction,2,,0,Medavakkam,Krishna Constructions
73.21,1153,Under Construction,2,,0,Medavakkam,Krishna Constructions
73.21,1153,Under Construction,2,,0,Medavakkam,Krishna Constructions
98.42,1550,Under Construction,3,3,0,Medavakkam,Krishna Constructions
98.42,1550,Under Construction,3,3,0,Medavakkam,Krishna Constructions
83.69,1318,Under Construction,2,,0,Medavakkam,Krishna Constructions
83.69,1318,Under Construction,2,,0,Medavakkam,Krishna Constructions
73.46,1157,Under Construction,2,,0,Medavakkam,Krishna Constructions
73.46,1157,Under Construction,2,,0,Medavakkam,Krishna Constructions
73.4,1156,Under Construction,2,,0,Medavakkam,Krishna Constructions
73.4,1156,Under Construction,2,,0,Medavakkam,Krishna Constructions
99.06,1560,Under Construction,3,,0,Medavakkam,Krishna Constructions
99.06,1560,Under Construction,3,,0,Medavakkam,Krishna Constructions
84.96,1338,Under Construction,2,,0,Medavakkam,Krishna Constructions
84.96,1338,Under Construction,2,,0,Medavakkam,Krishna Constructions
58.43,1113,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
54.81,1044,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
54.96,1047,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
58.43,1113,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
54.81,1044,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
54.96,1047,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
54.81,1044,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
50.76,967,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
50.76,967,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
58.9,1122,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
58.9,1122,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
57.01,1086,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
57.01,1086,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
72.63,1089,Ready to move,2,,4,Madipakkam,Ramaniyam Real Estate Builders
74.25,1114,Ready to move,2,2,4,Madipakkam,Ramaniyam Real Estate Builders
92.56,1420,Ready to move,3,,4,Madipakkam,Ramaniyam Real Estate Builders
96.94,1491,Ready to move,3,,4,Madipakkam,Ramaniyam Real Estate Builders
93.47,1435,Ready to move,3,,4,Madipakkam,Ramaniyam Real Estate Builders
85.28,1303,Ready to move,3,,4,Madipakkam,Ramaniyam Real Estate Builders
33,601,Ready to move,1,,3,Ambattur,Dugar Housing Builders
66.82,1310,Under Construction,3,,0,Sithalapakkam,The Nest Builder
64.08,1250,Under Construction,3,,0,Sithalapakkam,The Nest Builder
54.14,1050,Under Construction,2,,0,Sithalapakkam,The Nest Builder
69.33,1365,Under Construction,3,,0,Sithalapakkam,The Nest Builder
39.49,800,Under Construction,2,,0,Sithalapakkam,The Nest Builder
53.45,1035,Under Construction,2,,0,Sithalapakkam,The Nest Builder
29.72,625,Under Construction,1,,0,Sithalapakkam,The Nest Builder
71.39,1410,Under Construction,3,,0,Sithalapakkam,The Nest Builder
31.28,660,Under Construction,1,,0,Sithalapakkam,The Nest Builder
55.74,1085,Under Construction,2,,0,Sithalapakkam,The Nest Builder
65.45,1280,Under Construction,2,,0,Sithalapakkam,The Nest Builder
29.27,615,Under Construction,1,,0,Sithalapakkam,The Nest Builder
54.59,1060,Under Construction,2,,0,Sithalapakkam,The Nest Builder
52.54,1015,Under Construction,2,,0,Sithalapakkam,The Nest Builder
30.61,645,Under Construction,1,,0,Sithalapakkam,The Nest Builder
54.82,1065,Under Construction,2,,0,Sithalapakkam,The Nest Builder
221,1250,Under Construction,3,,0,Anna Nagar,India Builders Limited
47.38,1030,Ready to move,2,,3,Kolapakkam,Ram
47.15,1025,Ready to move,2,,3,Kolapakkam,Ram
42.55,925,Ready to move,2,,3,Kolapakkam,Ram
44.39,965,Ready to move,2,,3,Kolapakkam,Ram
50.6,1100,Ready to move,2,,3,Kolapakkam,Ram
42.78,930,Ready to move,2,,3,Kolapakkam,Ram
45.54,990,Ready to move,2,,3,Kolapakkam,Ram
55.79,1213,Ready to move,3,,3,Kolapakkam,Ram
49.91,1085,Ready to move,2,,3,Kolapakkam,Ram
46.92,1020,Ready to move,2,,3,Kolapakkam,Ram
48.99,1065,Ready to move,2,,3,Kolapakkam,Ram
33.29,1009,Under Construction,2,,0,Thaiyur,Shatapatri Estates Pvt Ltd
39.5,1197,Under Construction,3,,0,Thaiyur,Shatapatri Estates Pvt Ltd
33.42,1013,Under Construction,2,,0,Thaiyur,Shatapatri Estates Pvt Ltd
72.2,1313,Ready to move,2,,1,Thoraipakkam OMR,Shri Raman Developers
49.05,892,Ready to move,2,,1,Thoraipakkam OMR,Shri Raman Developers
64.77,1178,Ready to move,2,,1,Thoraipakkam OMR,Shri Raman Developers
32.3,718,Under Construction,2,,0,Poonamallee,Sri Hari Developers
38.6,858,Under Construction,2,,0,Poonamallee,Sri Hari Developers
33.42,743,Under Construction,2,,0,Poonamallee,Sri Hari Developers
38.96,866,Under Construction,2,,0,Poonamallee,Sri Hari Developers
42.28,588,Under Construction,2,1,0,Pallavaram,Radiance Realty Developers
73.82,1085,Under Construction,2,,0,Pallavaram,Radiance Realty Developers
73.82,1085,Under Construction,2,,0,Pallavaram,Radiance Realty Developers
42.28,588,Under Construction,2,1,0,Pallavaram,Radiance Realty Developers
42.28,588,Under Construction,2,1,0,Pallavaram,Radiance Realty Developers
73.82,1085,Under Construction,2,,0,Pallavaram,Radiance Realty Developers
73.82,1085,Under Construction,2,,0,Pallavaram,Radiance Realty Developers
71.08,1021,Under Construction,2,1,0,Pallavaram,Radiance Realty Developers
71.08,1021,Under Construction,2,1,0,Pallavaram,Radiance Realty Developers
108,1564,Under Construction,3,,0,Pallavaram,Radiance Realty Developers
108,1564,Under Construction,3,,0,Pallavaram,Radiance Realty Developers
94.51,1400,Under Construction,3,2,0,Pallavaram,Radiance Realty Developers
94.51,1400,Under Construction,3,2,0,Pallavaram,Radiance Realty Developers
51.24,1046,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
51.24,1046,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
76.86,1569,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
76.86,1569,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
51.24,1046,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
51.24,1046,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
76.86,1569,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
76.86,1569,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
64.17,1310,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
64.17,1310,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
51.73,1056,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
51.73,1056,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
51.58,1053,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
51.58,1053,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
69.66,1422,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
69.66,1422,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
48.69,994,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
48.69,994,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
48.59,992,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
48.59,992,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
63.34,1293,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
63.34,1293,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
76.47,1561,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
76.47,1561,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
63.83,1303,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
63.83,1303,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
57.41,1172,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
57.41,1172,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
48.74,995,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
48.74,995,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
81.71,1668,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
81.71,1668,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
72.01,1470,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
72.01,1470,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
62.31,1272,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
62.31,1272,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
82,1674,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
82,1674,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
75.54,1542,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
75.54,1542,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
62.7,1280,Under Construction,3,2,0,Madhavaram,Radiance Realty Developers
62.7,1280,Under Construction,3,2,0,Madhavaram,Radiance Realty Developers
63,1286,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
63,1286,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
74.56,1522,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
74.56,1522,Under Construction,3,,0,Madhavaram,Radiance Realty Developers
49.43,1009,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
49.43,1009,Under Construction,2,,0,Madhavaram,Radiance Realty Developers
67.32,1030,Ready to move,2,,1,Selaiyur,Global Homes
67.32,1030,Ready to move,2,,1,Selaiyur,Global Homes
79.71,1226,Ready to move,3,,1,Selaiyur,Global Homes
79.71,1226,Ready to move,3,,1,Selaiyur,Global Homes
67.32,1030,Ready to move,2,,1,Selaiyur,Global Homes
67.32,1030,Ready to move,2,,1,Selaiyur,Global Homes
79.71,1226,Ready to move,3,,1,Selaiyur,Global Homes
79.71,1226,Ready to move,3,,1,Selaiyur,Global Homes
50.21,1152,Ready to move,2,3,1,Padur,Pacifica Companies
50.08,1149,Ready to move,2,,1,Padur,Pacifica Companies
50.08,1149,Ready to move,2,,1,Padur,Pacifica Companies
49.99,1147,Ready to move,2,1,1,Padur,Pacifica Companies
49.99,1147,Ready to move,2,1,1,Padur,Pacifica Companies
59.33,1361,Ready to move,2,1,1,Padur,Pacifica Companies
59.33,1361,Ready to move,2,1,1,Padur,Pacifica Companies
56.46,1295,Ready to move,2,1,1,Padur,Pacifica Companies
56.46,1295,Ready to move,2,1,1,Padur,Pacifica Companies
54.96,1261,Ready to move,2,1,1,Padur,Pacifica Companies
54.96,1261,Ready to move,2,1,1,Padur,Pacifica Companies
59.16,1357,Ready to move,2,,1,Padur,Pacifica Companies
59.16,1357,Ready to move,2,,1,Padur,Pacifica Companies
55.24,1267,Ready to move,2,,1,Padur,Pacifica Companies
55.24,1267,Ready to move,2,,1,Padur,Pacifica Companies
55.14,1265,Ready to move,2,3,1,Padur,Pacifica Companies
55.14,1265,Ready to move,2,3,1,Padur,Pacifica Companies
55.05,1263,Ready to move,2,,1,Padur,Pacifica Companies
55.05,1263,Ready to move,2,,1,Padur,Pacifica Companies
65.8,1535,Under Construction,3,,0,Perumbakkam,BSCPL Infrastructure Ltd
39.75,885,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd
70.4,1650,Under Construction,3,,0,Perumbakkam,BSCPL Infrastructure Ltd
56.98,1315,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd
47.68,1080,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd
278,1652,Ready to move,3,,1,Adyar,Khurinji Homes
274,1627,Ready to move,3,,1,Adyar,Khurinji Homes
62.09,910,Ready to move,2,,2,Gowrivakkam,The Nest Builder
85.25,1270,Ready to move,3,,2,Gowrivakkam,The Nest Builder
51.44,973,Under Construction,2,2,0,Perumbakkam,Saradeuz Realty Constructions
54.52,806,Ready to move,2,,1,East Tambaram,VGK Builders Pvt Ltd
49.77,734,Ready to move,2,,1,East Tambaram,VGK Builders Pvt Ltd
59.4,882,Ready to move,2,,1,East Tambaram,VGK Builders Pvt Ltd
87.27,1106,Under Construction,3,,0,East Tambaram,VGK Builders Pvt Ltd
105,1360,Under Construction,4,,0,East Tambaram,VGK Builders Pvt Ltd
71.68,893,Under Construction,2,,0,East Tambaram,VGK Builders Pvt Ltd
70.44,876,Under Construction,2,,0,East Tambaram,VGK Builders Pvt Ltd
65.97,1115,Under Construction,2,,0,Madambakkam,VGK Builders Pvt Ltd
59.17,992,Under Construction,2,,0,Madambakkam,VGK Builders Pvt Ltd
57.34,958,Under Construction,2,,0,Madambakkam,VGK Builders Pvt Ltd
58.64,982,Under Construction,2,,0,Madambakkam,VGK Builders Pvt Ltd
58.69,981,Under Construction,2,,0,Madambakkam,VGK Builders Pvt Ltd
38.61,990,Under Construction,3,,0,Chromepet,Amarprakash Developers Pvt Ltd
35.45,909,Under Construction,3,,0,Chromepet,Amarprakash Developers Pvt Ltd
35.52,911,Under Construction,3,,0,Chromepet,Amarprakash Developers Pvt Ltd
25.15,645,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
35.49,910,Under Construction,3,2,0,Chromepet,Amarprakash Developers Pvt Ltd
24.92,639,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
35.13,901,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
24.84,637,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
37.86,971,Under Construction,3,2,0,Chromepet,Amarprakash Developers Pvt Ltd
27.65,709,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
25.03,642,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
35.33,906,Under Construction,3,,0,Chromepet,Amarprakash Developers Pvt Ltd
24.57,630,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
24.53,629,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
24.49,628,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
34.94,896,Under Construction,3,,0,Chromepet,Amarprakash Developers Pvt Ltd
37.63,965,Under Construction,3,,0,Chromepet,Amarprakash Developers Pvt Ltd
24.68,633,Under Construction,2,1,0,Chromepet,Amarprakash Developers Pvt Ltd
24.25,622,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
24.41,626,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
34.2,877,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
24.02,616,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
34.32,880,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
34.28,879,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
131,1556,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
251,2550,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
226,2288,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
306,3096,Under Construction,4,,0,Perungudi,Appaswamy Real Estate
223,2256,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
172,2030,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
192,2269,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
124,1477,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
147,1734,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
113,1343,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
169,2004,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
321,3252,Under Construction,4,,0,Perungudi,Appaswamy Real Estate
187,2223,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
190,2242,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
190,2238,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
169,1989,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
147,1723,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
146,1730,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
156,1836,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
111,1311,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
131,1561,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
240,2429,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
110,1317,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
111,1313,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
182,1636,Under Construction,3,,0,Vadapalani,Appaswamy Real Estate
178,2113,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
132,1176,Under Construction,2,,0,Vadapalani,Appaswamy Real Estate
134,1583,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
131,1174,Under Construction,2,,0,Vadapalani,Appaswamy Real Estate
133,1577,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
204,1838,Under Construction,3,,0,Vadapalani,Appaswamy Real Estate
132,1180,Under Construction,2,,0,Vadapalani,Appaswamy Real Estate
133,1580,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
255,2307,Under Construction,4,,0,Vadapalani,Appaswamy Real Estate
201,1816,Under Construction,3,,0,Vadapalani,Appaswamy Real Estate
236,2398,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
254,2301,Under Construction,4,,0,Vadapalani,Appaswamy Real Estate
316,3210,Under Construction,4,,0,Perungudi,Appaswamy Real Estate
181,1624,Under Construction,3,,0,Vadapalani,Appaswamy Real Estate
163,1941,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
137,1225,Under Construction,2,,0,Vadapalani,Appaswamy Real Estate
130,1159,Under Construction,2,,0,Vadapalani,Appaswamy Real Estate
178,2111,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
253,2285,Under Construction,4,,0,Vadapalani,Appaswamy Real Estate
178,2109,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
203,1831,Under Construction,3,,0,Vadapalani,Appaswamy Real Estate
165,1944,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
138,1232,Under Construction,2,,0,Vadapalani,Appaswamy Real Estate
252,2280,Under Construction,4,,0,Vadapalani,Appaswamy Real Estate
118,1394,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
178,1604,Under Construction,3,,0,Vadapalani,Appaswamy Real Estate
136,1211,Under Construction,2,,0,Vadapalani,Appaswamy Real Estate
117,1392,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
201,1811,Under Construction,3,,0,Vadapalani,Appaswamy Real Estate
174,2060,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
129,1154,Under Construction,2,,0,Vadapalani,Appaswamy Real Estate
175,2063,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
180,1617,Under Construction,3,,0,Vadapalani,Appaswamy Real Estate
180,1615,Under Construction,3,,0,Vadapalani,Appaswamy Real Estate
118,1398,Under Construction,2,,0,Perungudi,Appaswamy Real Estate
135,1204,Under Construction,2,,0,Vadapalani,Appaswamy Real Estate
175,2073,Under Construction,3,,0,Perungudi,Appaswamy Real Estate
178,1597,Under Construction,3,,0,Vadapalani,Appaswamy Real Estate
65.64,1380,Ready to move,3,,,Tiruvottiyur,Hansa Estates
53.47,1117,Ready to move,2,,,Tiruvottiyur,Hansa Estates
23.22,540,Ready to move,1,,,Tiruvottiyur,Hansa Estates
46.99,1093,Ready to move,2,,,Tiruvottiyur,Hansa Estates
25.19,586,Ready to move,1,,,Tiruvottiyur,Hansa Estates
45.75,1064,Ready to move,2,,,Tiruvottiyur,Hansa Estates
25.06,583,Ready to move,1,,,Tiruvottiyur,Hansa Estates
25.02,582,Ready to move,1,,,Tiruvottiyur,Hansa Estates
45.53,1059,Ready to move,2,,,Tiruvottiyur,Hansa Estates
68.38,1439,Ready to move,3,,,Tiruvottiyur,Hansa Estates
68.47,1441,Ready to move,3,,,Tiruvottiyur,Hansa Estates
44.72,1040,Ready to move,2,,,Tiruvottiyur,Hansa Estates
68.75,1447,Ready to move,3,,,Tiruvottiyur,Hansa Estates
67.63,1423,Ready to move,3,,,Tiruvottiyur,Hansa Estates
67.77,1426,Ready to move,3,,,Tiruvottiyur,Hansa Estates
66.81,1405,Ready to move,3,,,Tiruvottiyur,Hansa Estates
54.72,1144,Ready to move,2,,,Tiruvottiyur,Hansa Estates
54.63,1142,Ready to move,2,,,Tiruvottiyur,Hansa Estates
55.19,1154,Ready to move,2,,,Tiruvottiyur,Hansa Estates
43.94,1022,Ready to move,2,,,Tiruvottiyur,Hansa Estates
66.1,1390,Ready to move,3,,,Tiruvottiyur,Hansa Estates
54.09,1130,Ready to move,2,,,Tiruvottiyur,Hansa Estates
23.65,550,Ready to move,1,,,Tiruvottiyur,Hansa Estates
66.3,1394,Ready to move,3,,,Tiruvottiyur,Hansa Estates
23.47,546,Ready to move,1,,,Tiruvottiyur,Hansa Estates
66.35,1395,Ready to move,3,,,Tiruvottiyur,Hansa Estates
23.26,541,Ready to move,1,,,Tiruvottiyur,Hansa Estates
23.39,544,Ready to move,1,,,Tiruvottiyur,Hansa Estates
111,1645,Ready to move,3,,4,Iyappanthangal,Prince Foundations Ltd
